[2023-07-25 02:57:45.901 PM] : 	ToServer/0ACFD54A - LOG,9,1690173389,BAR,572.0,
[2023-07-25 02:57:46.081 PM] : 	ToServer/EEEEE - LOG,8,1690261065,test,3986,
[2023-07-25 02:57:46.131 PM] : 	ToServer/AAAAAA - LOG,2,1690261066,test,8957,
[2023-07-25 02:57:46.131 PM] : 	ToServer/BBBBBB - LOG,9,1690261066,test,4186,
[2023-07-25 02:57:46.131 PM] : 	ToServer/CCCCC - LOG,8,1690261066,test,8910,
[2023-07-25 02:57:46.131 PM] : 	ToServer/DDDDD - LOG,8,1690261066,test,2152,
[2023-07-25 02:57:46.131 PM] : 	ToServer/EEEEE - LOG,9,1690261066,test,3818,
[2023-07-25 02:57:46.182 PM] : 	ToServer/AAAAAA - LOG,3,1690261066,test,2704,
[2023-07-25 02:57:46.182 PM] : 	ToServer/BBBBBB - LOG,5,1690261066,test,6821,
[2023-07-25 02:57:46.182 PM] : 	ToServer/CCCCC - LOG,0,1690261066,test,1597,
[2023-07-25 02:57:46.183 PM] : 	ToServer/DDDDD - LOG,1,1690261066,test,4767,
[2023-07-25 02:57:46.183 PM] : 	ToServer/EEEEE - LOG,9,1690261066,test,8148,
[2023-07-25 02:57:46.233 PM] : 	ToServer/AAAAAA - LOG,7,1690261066,test,5511,
[2023-07-25 02:57:46.234 PM] : 	ToServer/BBBBBB - LOG,3,1690261066,test,6781,
[2023-07-25 02:57:46.234 PM] : 	ToServer/CCCCC - LOG,5,1690261066,test,7480,
[2023-07-25 02:57:46.234 PM] : 	ToServer/DDDDD - LOG,5,1690261066,test,8021,
[2023-07-25 02:57:46.234 PM] : 	ToServer/EEEEE - LOG,7,1690261066,test,7963,
[2023-07-25 02:57:46.285 PM] : 	ToServer/AAAAAA - LOG,1,1690261066,test,6505,
[2023-07-25 02:57:46.285 PM] : 	ToServer/BBBBBB - LOG,4,1690261066,test,5865,
[2023-07-25 02:57:46.285 PM] : 	ToServer/CCCCC - LOG,9,1690261066,test,2544,
[2023-07-25 02:57:46.286 PM] : 	ToServer/DDDDD - LOG,5,1690261066,test,8827,
[2023-07-25 02:57:46.286 PM] : 	ToServer/EEEEE - LOG,7,1690261066,test,5734,
[2023-07-25 02:57:46.337 PM] : 	ToServer/AAAAAA - LOG,6,1690261066,test,7558,
[2023-07-25 02:57:46.337 PM] : 	ToServer/BBBBBB - LOG,4,1690261066,test,7254,
[2023-07-25 02:57:46.337 PM] : 	ToServer/CCCCC - LOG,5,1690261066,test,4001,
[2023-07-25 02:57:46.337 PM] : 	ToServer/DDDDD - LOG,2,1690261066,test,2144,
[2023-07-25 02:57:46.337 PM] : 	ToServer/EEEEE - LOG,7,1690261066,test,1239,
[2023-07-25 02:57:46.388 PM] : 	ToServer/AAAAAA - LOG,8,1690261066,test,6835,
[2023-07-25 02:57:46.389 PM] : 	ToServer/BBBBBB - LOG,6,1690261066,test,4356,
[2023-07-25 02:57:46.389 PM] : 	ToServer/CCCCC - LOG,4,1690261066,test,1337,
[2023-07-25 02:57:46.389 PM] : 	ToServer/DDDDD - LOG,8,1690261066,test,5718,
[2023-07-25 02:57:46.389 PM] : 	ToServer/EEEEE - LOG,6,1690261066,test,8001,
[2023-07-25 02:57:46.435 PM] : 	ToServer/AAAAAA - LOG,8,1690261066,test,2901,
[2023-07-25 02:57:46.435 PM] : 	ToServer/BBBBBB - LOG,3,1690261066,test,7729,
[2023-07-25 02:57:46.435 PM] : 	ToServer/CCCCC - LOG,4,1690261066,test,6459,
[2023-07-25 02:57:46.435 PM] : 	ToServer/DDDDD - LOG,0,1690261066,test,2327,
[2023-07-25 02:57:46.435 PM] : 	ToServer/EEEEE - LOG,7,1690261066,test,781,
[2023-07-25 02:57:46.487 PM] : 	ToServer/AAAAAA - LOG,5,1690261066,test,461,
[2023-07-25 02:57:46.487 PM] : 	ToServer/BBBBBB - LOG,1,1690261066,test,9474,
[2023-07-25 02:57:46.487 PM] : 	ToServer/CCCCC - LOG,5,1690261066,test,9548,
[2023-07-25 02:57:46.487 PM] : 	ToServer/DDDDD - LOG,2,1690261066,test,8954,
[2023-07-25 02:57:46.487 PM] : 	ToServer/EEEEE - LOG,6,1690261066,test,4248,
[2023-07-25 02:57:46.537 PM] : 	ToServer/AAAAAA - LOG,6,1690261066,test,4485,
[2023-07-25 02:57:46.538 PM] : 	ToServer/BBBBBB - LOG,3,1690261066,test,2746,
[2023-07-25 02:57:46.538 PM] : 	ToServer/CCCCC - LOG,7,1690261066,test,1105,
[2023-07-25 02:57:46.538 PM] : 	ToServer/DDDDD - LOG,1,1690261066,test,4074,
[2023-07-25 02:57:46.538 PM] : 	ToServer/EEEEE - LOG,6,1690261066,test,2243,
[2023-07-25 02:57:46.590 PM] : 	ToServer/AAAAAA - LOG,8,1690261066,test,9498,
[2023-07-25 02:57:46.590 PM] : 	ToServer/BBBBBB - LOG,3,1690261066,test,9867,
[2023-07-25 02:57:46.590 PM] : 	ToServer/CCCCC - LOG,8,1690261066,test,5343,
[2023-07-25 02:57:46.590 PM] : 	ToServer/DDDDD - LOG,8,1690261066,test,8372,
[2023-07-25 02:57:46.590 PM] : 	ToServer/EEEEE - LOG,2,1690261066,test,909,
[2023-07-25 02:57:46.637 PM] : 	ToServer/AAAAAA - LOG,7,1690261066,test,5682,
[2023-07-25 02:57:46.638 PM] : 	ToServer/BBBBBB - LOG,8,1690261066,test,3286,
[2023-07-25 02:57:46.638 PM] : 	ToServer/CCCCC - LOG,1,1690261066,test,29,
[2023-07-25 02:57:46.638 PM] : 	ToServer/DDDDD - LOG,8,1690261066,test,6044,
[2023-07-25 02:57:46.638 PM] : 	ToServer/EEEEE - LOG,4,1690261066,test,1655,
[2023-07-25 02:57:46.667 PM] : 	{"id":2171087,"dateTimeUTC":"2023-07-25T04:57:46.029Z","timestampUTC":1690261065,"deviceId":"AAAAAA","taskId":5,"logType":"test","logValue":4326,"logNote":""}
[2023-07-25 02:57:46.687 PM] : 	ToServer/AAAAAA - LOG,6,1690261066,test,2052,
[2023-07-25 02:57:46.688 PM] : 	ToServer/BBBBBB - LOG,1,1690261066,test,396,
[2023-07-25 02:57:46.688 PM] : 	ToServer/CCCCC - LOG,1,1690261066,test,4282,
[2023-07-25 02:57:46.688 PM] : 	ToServer/DDDDD - LOG,2,1690261066,test,547,
[2023-07-25 02:57:46.688 PM] : 	ToServer/EEEEE - LOG,3,1690261066,test,2976,
[2023-07-25 02:57:46.737 PM] : 	ToServer/AAAAAA - LOG,9,1690261066,test,1407,
[2023-07-25 02:57:46.737 PM] : 	ToServer/BBBBBB - LOG,9,1690261066,test,6130,
[2023-07-25 02:57:46.737 PM] : 	ToServer/CCCCC - LOG,2,1690261066,test,6933,
[2023-07-25 02:57:46.737 PM] : 	ToServer/DDDDD - LOG,4,1690261066,test,4273,
[2023-07-25 02:57:46.737 PM] : 	ToServer/EEEEE - LOG,0,1690261066,test,406,
[2023-07-25 02:57:46.790 PM] : 	ToServer/AAAAAA - LOG,3,1690261066,test,632,
[2023-07-25 02:57:46.790 PM] : 	ToServer/BBBBBB - LOG,3,1690261066,test,7670,
[2023-07-25 02:57:46.790 PM] : 	ToServer/CCCCC - LOG,6,1690261066,test,202,
[2023-07-25 02:57:46.790 PM] : 	ToServer/DDDDD - LOG,0,1690261066,test,8522,
[2023-07-25 02:57:46.790 PM] : 	ToServer/EEEEE - LOG,2,1690261066,test,9990,
[2023-07-25 02:57:46.829 PM] : 	{"id":2171110,"dateTimeUTC":"2023-07-25T04:57:46.029Z","timestampUTC":1690261065,"deviceId":"DDDDD","taskId":5,"logType":"test","logValue":9874,"logNote":""}
[2023-07-25 02:57:46.841 PM] : 	ToServer/AAAAAA - LOG,6,1690261066,test,403,
[2023-07-25 02:57:46.841 PM] : 	ToServer/BBBBBB - LOG,7,1690261066,test,6830,
[2023-07-25 02:57:46.841 PM] : 	ToServer/CCCCC - LOG,7,1690261066,test,4104,
[2023-07-25 02:57:46.841 PM] : 	ToServer/DDDDD - LOG,0,1690261066,test,243,
[2023-07-25 02:57:46.841 PM] : 	ToServer/EEEEE - LOG,9,1690261066,test,1886,
[2023-07-25 02:57:46.855 PM] : 	{"id":2171102,"dateTimeUTC":"2023-07-25T04:57:45.940Z","timestampUTC":1690261065,"deviceId":"CCCCC","taskId":8,"logType":"test","logValue":9369,"logNote":""}
[2023-07-25 02:57:46.859 PM] : 	{"id":2171105,"dateTimeUTC":"2023-07-25T04:57:45.939Z","timestampUTC":1690261065,"deviceId":"AAAAAA","taskId":4,"logType":"test","logValue":8313,"logNote":""}
[2023-07-25 02:57:46.864 PM] : 	{"id":2171106,"dateTimeUTC":"2023-07-25T04:57:45.940Z","timestampUTC":1690261065,"deviceId":"EEEEE","taskId":1,"logType":"test","logValue":922,"logNote":""}
[2023-07-25 02:57:46.874 PM] : 	{"id":2171109,"dateTimeUTC":"2023-07-25T04:57:45.986Z","timestampUTC":1690261065,"deviceId":"EEEEE","taskId":4,"logType":"test","logValue":8506,"logNote":""}
[2023-07-25 02:57:46.881 PM] : 	{"id":2171112,"dateTimeUTC":"2023-07-25T04:57:45.939Z","timestampUTC":1690261065,"deviceId":"BBBBBB","taskId":1,"logType":"test","logValue":1178,"logNote":""}
[2023-07-25 02:57:46.889 PM] : 	ToServer/AAAAAA - LOG,7,1690261066,test,4640,
[2023-07-25 02:57:46.889 PM] : 	ToServer/BBBBBB - LOG,5,1690261066,test,5012,
[2023-07-25 02:57:46.889 PM] : 	ToServer/CCCCC - LOG,4,1690261066,test,1699,
[2023-07-25 02:57:46.889 PM] : 	ToServer/DDDDD - LOG,5,1690261066,test,8285,
[2023-07-25 02:57:46.889 PM] : 	ToServer/EEEEE - LOG,0,1690261066,test,3819,
[2023-07-25 02:57:46.945 PM] : 	ToServer/AAAAAA - LOG,5,1690261066,test,6137,
[2023-07-25 02:57:46.945 PM] : 	ToServer/BBBBBB - LOG,9,1690261066,test,2704,
[2023-07-25 02:57:46.945 PM] : 	ToServer/CCCCC - LOG,8,1690261066,test,2438,
[2023-07-25 02:57:46.945 PM] : 	ToServer/DDDDD - LOG,6,1690261066,test,3830,
[2023-07-25 02:57:46.945 PM] : 	ToServer/EEEEE - LOG,4,1690261066,test,1202,
[2023-07-25 02:57:46.988 PM] : 	{"id":2171126,"dateTimeUTC":"2023-07-25T04:57:46.029Z","timestampUTC":1690261065,"deviceId":"EEEEE","taskId":5,"logType":"test","logValue":2787,"logNote":""}
[2023-07-25 02:57:46.992 PM] : 	ToServer/AAAAAA - LOG,5,1690261066,test,7431,
[2023-07-25 02:57:46.993 PM] : 	ToServer/BBBBBB - LOG,3,1690261066,test,998,
[2023-07-25 02:57:46.993 PM] : 	ToServer/CCCCC - LOG,3,1690261066,test,7149,
[2023-07-25 02:57:46.993 PM] : 	ToServer/DDDDD - LOG,3,1690261066,test,923,
[2023-07-25 02:57:46.993 PM] : 	ToServer/EEEEE - LOG,3,1690261066,test,8297,
[2023-07-25 02:57:47.012 PM] : 	{"id":2171127,"dateTimeUTC":"2023-07-25T04:57:46.081Z","timestampUTC":1690261065,"deviceId":"BBBBBB","taskId":6,"logType":"test","logValue":4049,"logNote":""}
[2023-07-25 02:57:47.021 PM] : 	{"id":2171128,"dateTimeUTC":"2023-07-25T04:57:46.081Z","timestampUTC":1690261065,"deviceId":"CCCCC","taskId":9,"logType":"test","logValue":9097,"logNote":""}
[2023-07-25 02:57:47.022 PM] : 	{"id":2171129,"dateTimeUTC":"2023-07-25T04:57:46.081Z","timestampUTC":1690261065,"deviceId":"AAAAAA","taskId":4,"logType":"test","logValue":9839,"logNote":""}
[2023-07-25 02:57:47.032 PM] : 	{"id":2171135,"dateTimeUTC":"2023-07-25T04:57:46.081Z","timestampUTC":1690261065,"deviceId":"DDDDD","taskId":3,"logType":"test","logValue":778,"logNote":""}
[2023-07-25 02:57:47.042 PM] : 	ToServer/AAAAAA - LOG,1,1690261066,test,3774,
[2023-07-25 02:57:47.042 PM] : 	ToServer/BBBBBB - LOG,0,1690261066,test,8388,
[2023-07-25 02:57:47.042 PM] : 	ToServer/CCCCC - LOG,9,1690261066,test,2965,
[2023-07-25 02:57:47.042 PM] : 	ToServer/DDDDD - LOG,9,1690261066,test,6502,
[2023-07-25 02:57:47.042 PM] : 	ToServer/EEEEE - LOG,1,1690261066,test,8861,
[2023-07-25 02:57:47.095 PM] : 	ToServer/AAAAAA - LOG,0,1690261067,test,7090,
[2023-07-25 02:57:47.095 PM] : 	ToServer/BBBBBB - LOG,1,1690261067,test,8575,
[2023-07-25 02:57:47.095 PM] : 	ToServer/CCCCC - LOG,7,1690261067,test,9492,
[2023-07-25 02:57:47.095 PM] : 	ToServer/DDDDD - LOG,0,1690261067,test,709,
[2023-07-25 02:57:47.095 PM] : 	ToServer/EEEEE - LOG,8,1690261067,test,3952,
[2023-07-25 02:57:47.114 PM] : 	{"id":2171140,"dateTimeUTC":"2023-07-25T04:57:46.029Z","timestampUTC":1690261065,"deviceId":"BBBBBB","taskId":5,"logType":"test","logValue":9092,"logNote":""}
[2023-07-25 02:57:47.120 PM] : 	{"id":2171142,"dateTimeUTC":"2023-07-25T04:57:45.902Z","timestampUTC":1690173389,"deviceId":"0ACFD54A","taskId":9,"logType":"BAR","logValue":572,"logNote":""}
[2023-07-25 02:57:47.145 PM] : 	ToServer/AAAAAA - LOG,2,1690261067,test,6134,
[2023-07-25 02:57:47.146 PM] : 	ToServer/BBBBBB - LOG,9,1690261067,test,4749,
[2023-07-25 02:57:47.146 PM] : 	ToServer/CCCCC - LOG,4,1690261067,test,1802,
[2023-07-25 02:57:47.146 PM] : 	ToServer/DDDDD - LOG,5,1690261067,test,42,
[2023-07-25 02:57:47.146 PM] : 	ToServer/EEEEE - LOG,4,1690261067,test,9467,
[2023-07-25 02:57:47.147 PM] : 	{"id":2171146,"dateTimeUTC":"2023-07-25T04:57:45.986Z","timestampUTC":1690261065,"deviceId":"DDDDD","taskId":1,"logType":"test","logValue":4014,"logNote":""}
[2023-07-25 02:57:47.147 PM] : 	{"id":2171150,"dateTimeUTC":"2023-07-25T04:57:46.131Z","timestampUTC":1690261066,"deviceId":"BBBBBB","taskId":9,"logType":"test","logValue":4186,"logNote":""}
[2023-07-25 02:57:47.147 PM] : 	{"id":2171145,"dateTimeUTC":"2023-07-25T04:57:45.986Z","timestampUTC":1690261065,"deviceId":"BBBBBB","taskId":1,"logType":"test","logValue":1493,"logNote":""}
[2023-07-25 02:57:47.185 PM] : 	{"id":2171154,"dateTimeUTC":"2023-07-25T04:57:46.131Z","timestampUTC":1690261066,"deviceId":"EEEEE","taskId":9,"logType":"test","logValue":3818,"logNote":""}
[2023-07-25 02:57:47.186 PM] : 	{"id":2171153,"dateTimeUTC":"2023-07-25T04:57:46.131Z","timestampUTC":1690261066,"deviceId":"CCCCC","taskId":8,"logType":"test","logValue":8910,"logNote":""}
[2023-07-25 02:57:47.186 PM] : 	{"id":2171155,"dateTimeUTC":"2023-07-25T04:57:46.131Z","timestampUTC":1690261066,"deviceId":"AAAAAA","taskId":2,"logType":"test","logValue":8957,"logNote":""}
[2023-07-25 02:57:47.189 PM] : 	{"id":2171159,"dateTimeUTC":"2023-07-25T04:57:46.183Z","timestampUTC":1690261066,"deviceId":"EEEEE","taskId":9,"logType":"test","logValue":8148,"logNote":""}
[2023-07-25 02:57:47.193 PM] : 	ToServer/AAAAAA - LOG,2,1690261067,test,754,
[2023-07-25 02:57:47.193 PM] : 	ToServer/BBBBBB - LOG,7,1690261067,test,3941,
[2023-07-25 02:57:47.193 PM] : 	ToServer/CCCCC - LOG,9,1690261067,test,5223,
[2023-07-25 02:57:47.193 PM] : 	ToServer/DDDDD - LOG,5,1690261067,test,5776,
[2023-07-25 02:57:47.193 PM] : 	ToServer/EEEEE - LOG,5,1690261067,test,3928,
[2023-07-25 02:57:47.241 PM] : 	ToServer/AAAAAA - LOG,8,1690261067,test,3857,
[2023-07-25 02:57:47.241 PM] : 	ToServer/BBBBBB - LOG,8,1690261067,test,2257,
[2023-07-25 02:57:47.241 PM] : 	ToServer/CCCCC - LOG,1,1690261067,test,2725,
[2023-07-25 02:57:47.241 PM] : 	ToServer/DDDDD - LOG,8,1690261067,test,8305,
[2023-07-25 02:57:47.241 PM] : 	ToServer/EEEEE - LOG,7,1690261067,test,7673,
[2023-07-25 02:57:47.270 PM] : 	{"id":2171165,"dateTimeUTC":"2023-07-25T04:57:46.182Z","timestampUTC":1690261066,"deviceId":"AAAAAA","taskId":3,"logType":"test","logValue":2704,"logNote":""}
[2023-07-25 02:57:47.280 PM] : 	{"id":2171167,"dateTimeUTC":"2023-07-25T04:57:46.234Z","timestampUTC":1690261066,"deviceId":"BBBBBB","taskId":3,"logType":"test","logValue":6781,"logNote":""}
[2023-07-25 02:57:47.292 PM] : 	ToServer/AAAAAA - LOG,1,1690261067,test,6934,
[2023-07-25 02:57:47.292 PM] : 	ToServer/BBBBBB - LOG,7,1690261067,test,6885,
[2023-07-25 02:57:47.292 PM] : 	ToServer/CCCCC - LOG,6,1690261067,test,6295,
[2023-07-25 02:57:47.292 PM] : 	ToServer/DDDDD - LOG,0,1690261067,test,7831,
[2023-07-25 02:57:47.292 PM] : 	ToServer/EEEEE - LOG,5,1690261067,test,6925,
[2023-07-25 02:57:47.299 PM] : 	{"id":2171136,"dateTimeUTC":"2023-07-25T04:57:46.081Z","timestampUTC":1690261065,"deviceId":"EEEEE","taskId":8,"logType":"test","logValue":3986,"logNote":""}
[2023-07-25 02:57:47.306 PM] : 	{"id":2171172,"dateTimeUTC":"2023-07-25T04:57:46.233Z","timestampUTC":1690261066,"deviceId":"AAAAAA","taskId":7,"logType":"test","logValue":5511,"logNote":""}
[2023-07-25 02:57:47.311 PM] : 	{"id":2171173,"dateTimeUTC":"2023-07-25T04:57:46.234Z","timestampUTC":1690261066,"deviceId":"CCCCC","taskId":5,"logType":"test","logValue":7480,"logNote":""}
[2023-07-25 02:57:47.316 PM] : 	{"id":2171174,"dateTimeUTC":"2023-07-25T04:57:46.234Z","timestampUTC":1690261066,"deviceId":"DDDDD","taskId":5,"logType":"test","logValue":8021,"logNote":""}
[2023-07-25 02:57:47.348 PM] : 	ToServer/AAAAAA - LOG,1,1690261067,test,6124,
[2023-07-25 02:57:47.348 PM] : 	ToServer/BBBBBB - LOG,2,1690261067,test,254,
[2023-07-25 02:57:47.348 PM] : 	ToServer/CCCCC - LOG,4,1690261067,test,3334,
[2023-07-25 02:57:47.348 PM] : 	ToServer/DDDDD - LOG,2,1690261067,test,9354,
[2023-07-25 02:57:47.348 PM] : 	ToServer/EEEEE - LOG,8,1690261067,test,4967,
[2023-07-25 02:57:47.357 PM] : 	{"id":2171179,"dateTimeUTC":"2023-07-25T04:57:46.285Z","timestampUTC":1690261066,"deviceId":"AAAAAA","taskId":1,"logType":"test","logValue":6505,"logNote":""}
[2023-07-25 02:57:47.362 PM] : 	{"id":2171181,"dateTimeUTC":"2023-07-25T04:57:46.183Z","timestampUTC":1690261066,"deviceId":"DDDDD","taskId":1,"logType":"test","logValue":4767,"logNote":""}
[2023-07-25 02:57:47.363 PM] : 	{"id":2171182,"dateTimeUTC":"2023-07-25T04:57:46.285Z","timestampUTC":1690261066,"deviceId":"BBBBBB","taskId":4,"logType":"test","logValue":5865,"logNote":""}
[2023-07-25 02:57:47.363 PM] : 	{"id":2171180,"dateTimeUTC":"2023-07-25T04:57:46.234Z","timestampUTC":1690261066,"deviceId":"EEEEE","taskId":7,"logType":"test","logValue":7963,"logNote":""}
[2023-07-25 02:57:47.371 PM] : 	{"id":2171111,"dateTimeUTC":"2023-07-25T04:57:45.986Z","timestampUTC":1690261065,"deviceId":"CCCCC","taskId":2,"logType":"test","logValue":6362,"logNote":""}
[2023-07-25 02:57:47.385 PM] : 	{"id":2171144,"dateTimeUTC":"2023-07-25T04:57:45.986Z","timestampUTC":1690261065,"deviceId":"AAAAAA","taskId":3,"logType":"test","logValue":5434,"logNote":""}
[2023-07-25 02:57:47.390 PM] : 	{"id":2171143,"dateTimeUTC":"2023-07-25T04:57:45.940Z","timestampUTC":1690261065,"deviceId":"DDDDD","taskId":7,"logType":"test","logValue":9660,"logNote":""}
[2023-07-25 02:57:47.394 PM] : 	ToServer/AAAAAA - LOG,1,1690261067,test,8180,
[2023-07-25 02:57:47.394 PM] : 	ToServer/BBBBBB - LOG,6,1690261067,test,2083,
[2023-07-25 02:57:47.394 PM] : 	ToServer/CCCCC - LOG,2,1690261067,test,5987,
[2023-07-25 02:57:47.394 PM] : 	ToServer/DDDDD - LOG,4,1690261067,test,1984,
[2023-07-25 02:57:47.394 PM] : 	ToServer/EEEEE - LOG,5,1690261067,test,607,
[2023-07-25 02:57:47.453 PM] : 	{"id":2171194,"dateTimeUTC":"2023-07-25T04:57:46.131Z","timestampUTC":1690261066,"deviceId":"DDDDD","taskId":8,"logType":"test","logValue":2152,"logNote":""}
[2023-07-25 02:57:47.453 PM] : 	{"id":2171193,"dateTimeUTC":"2023-07-25T04:57:46.285Z","timestampUTC":1690261066,"deviceId":"CCCCC","taskId":9,"logType":"test","logValue":2544,"logNote":""}
[2023-07-25 02:57:47.462 PM] : 	{"id":2171195,"dateTimeUTC":"2023-07-25T04:57:46.286Z","timestampUTC":1690261066,"deviceId":"DDDDD","taskId":5,"logType":"test","logValue":8827,"logNote":""}
[2023-07-25 02:57:47.467 PM] : 	{"id":2171196,"dateTimeUTC":"2023-07-25T04:57:46.286Z","timestampUTC":1690261066,"deviceId":"EEEEE","taskId":7,"logType":"test","logValue":5734,"logNote":""}
[2023-07-25 02:57:47.482 PM] : 	{"id":2171199,"dateTimeUTC":"2023-07-25T04:57:46.182Z","timestampUTC":1690261066,"deviceId":"BBBBBB","taskId":5,"logType":"test","logValue":6821,"logNote":""}
[2023-07-25 02:57:47.482 PM] : 	{"id":2171203,"dateTimeUTC":"2023-07-25T04:57:46.337Z","timestampUTC":1690261066,"deviceId":"BBBBBB","taskId":4,"logType":"test","logValue":7254,"logNote":""}
[2023-07-25 02:57:47.515 PM] : 	{"id":2171204,"dateTimeUTC":"2023-07-25T04:57:46.337Z","timestampUTC":1690261066,"deviceId":"DDDDD","taskId":2,"logType":"test","logValue":2144,"logNote":""}
[2023-07-25 02:57:47.524 PM] : 	{"id":2171205,"dateTimeUTC":"2023-07-25T04:57:46.389Z","timestampUTC":1690261066,"deviceId":"BBBBBB","taskId":6,"logType":"test","logValue":4356,"logNote":""}
[2023-07-25 02:57:47.534 PM] : 	{"id":2171208,"dateTimeUTC":"2023-07-25T04:57:46.389Z","timestampUTC":1690261066,"deviceId":"EEEEE","taskId":6,"logType":"test","logValue":8001,"logNote":""}
[2023-07-25 02:57:47.539 PM] : 	{"id":2171207,"dateTimeUTC":"2023-07-25T04:57:46.337Z","timestampUTC":1690261066,"deviceId":"AAAAAA","taskId":6,"logType":"test","logValue":7558,"logNote":""}
[2023-07-25 02:57:47.546 PM] : 	{"id":2171212,"dateTimeUTC":"2023-07-25T04:57:46.389Z","timestampUTC":1690261066,"deviceId":"CCCCC","taskId":4,"logType":"test","logValue":1337,"logNote":""}
[2023-07-25 02:57:47.563 PM] : 	{"id":2171213,"dateTimeUTC":"2023-07-25T04:57:46.389Z","timestampUTC":1690261066,"deviceId":"DDDDD","taskId":8,"logType":"test","logValue":5718,"logNote":""}
[2023-07-25 02:57:47.624 PM] : 	{"id":2171216,"dateTimeUTC":"2023-07-25T04:57:46.435Z","timestampUTC":1690261066,"deviceId":"AAAAAA","taskId":8,"logType":"test","logValue":2901,"logNote":""}
[2023-07-25 02:57:47.625 PM] : 	{"id":2171215,"dateTimeUTC":"2023-07-25T04:57:46.337Z","timestampUTC":1690261066,"deviceId":"CCCCC","taskId":5,"logType":"test","logValue":4001,"logNote":""}
[2023-07-25 02:57:47.625 PM] : 	{"id":2171214,"dateTimeUTC":"2023-07-25T04:57:46.337Z","timestampUTC":1690261066,"deviceId":"EEEEE","taskId":7,"logType":"test","logValue":1239,"logNote":""}
[2023-07-25 02:57:47.627 PM] : 	{"id":2171217,"dateTimeUTC":"2023-07-25T04:57:46.435Z","timestampUTC":1690261066,"deviceId":"BBBBBB","taskId":3,"logType":"test","logValue":7729,"logNote":""}
[2023-07-25 02:57:47.652 PM] : 	{"id":2171219,"dateTimeUTC":"2023-07-25T04:57:46.435Z","timestampUTC":1690261066,"deviceId":"EEEEE","taskId":7,"logType":"test","logValue":781,"logNote":""}
[2023-07-25 02:57:47.695 PM] : 	{"id":2171222,"dateTimeUTC":"2023-07-25T04:57:46.487Z","timestampUTC":1690261066,"deviceId":"CCCCC","taskId":5,"logType":"test","logValue":9548,"logNote":""}
[2023-07-25 02:57:47.695 PM] : 	{"id":2171221,"dateTimeUTC":"2023-07-25T04:57:46.487Z","timestampUTC":1690261066,"deviceId":"BBBBBB","taskId":1,"logType":"test","logValue":9474,"logNote":""}
[2023-07-25 02:57:47.699 PM] : 	{"id":2171223,"dateTimeUTC":"2023-07-25T04:57:46.487Z","timestampUTC":1690261066,"deviceId":"EEEEE","taskId":6,"logType":"test","logValue":4248,"logNote":""}
[2023-07-25 02:57:47.741 PM] : 	ToServer/AAAAAA - LOG,5,1690261067,test,4848,
[2023-07-25 02:57:47.741 PM] : 	ToServer/BBBBBB - LOG,7,1690261067,test,8371,
[2023-07-25 02:57:47.741 PM] : 	ToServer/CCCCC - LOG,4,1690261067,test,6394,
[2023-07-25 02:57:47.741 PM] : 	ToServer/DDDDD - LOG,9,1690261067,test,5403,
[2023-07-25 02:57:47.741 PM] : 	ToServer/EEEEE - LOG,6,1690261067,test,2477,
[2023-07-25 02:57:47.741 PM] : 	ToServer/AAAAAA - LOG,3,1690261067,test,6186,
