[2023-07-18 12:49:55.960 PM] : 	ToServer/0ACFD54A - CHK,0,1689560528
[2023-07-18 12:49:56.279 PM] : 	ToServer/BBBBBB - LOG,1,1689648596,test,6707,
[2023-07-18 12:49:56.279 PM] : 	ToServer/CCCCC - LOG,0,1689648596,test,7134,
[2023-07-18 12:49:56.279 PM] : 	ToServer/DDDDD - LOG,2,1689648596,test,857,
[2023-07-18 12:49:56.279 PM] : 	ToServer/EEEEE - LOG,2,1689648596,test,6240,
[2023-07-18 12:49:56.342 PM] : 	ToServer/AAAAAA - LOG,7,1689648596,test,7174,
[2023-07-18 12:49:56.343 PM] : 	ToServer/BBBBBB - LOG,4,1689648596,test,6833,
[2023-07-18 12:49:56.343 PM] : 	ToServer/CCCCC - LOG,2,1689648596,test,9839,
[2023-07-18 12:49:56.343 PM] : 	ToServer/DDDDD - LOG,1,1689648596,test,2058,
[2023-07-18 12:49:56.343 PM] : 	ToServer/EEEEE - LOG,9,1689648596,test,9968,
[2023-07-18 12:49:56.393 PM] : 	ToServer/AAAAAA - LOG,5,1689648596,test,5098,
[2023-07-18 12:49:56.393 PM] : 	ToServer/BBBBBB - LOG,7,1689648596,test,1075,
[2023-07-18 12:49:56.393 PM] : 	ToServer/CCCCC - LOG,8,1689648596,test,1705,
[2023-07-18 12:49:56.393 PM] : 	ToServer/DDDDD - LOG,4,1689648596,test,6701,
[2023-07-18 12:49:56.393 PM] : 	ToServer/EEEEE - LOG,0,1689648596,test,6105,
[2023-07-18 12:49:56.448 PM] : 	ToServer/AAAAAA - LOG,3,1689648596,test,6196,
[2023-07-18 12:49:56.448 PM] : 	ToServer/BBBBBB - LOG,1,1689648596,test,6742,
[2023-07-18 12:49:56.448 PM] : 	ToServer/CCCCC - LOG,0,1689648596,test,7518,
[2023-07-18 12:49:56.448 PM] : 	ToServer/DDDDD - LOG,7,1689648596,test,1732,
[2023-07-18 12:49:56.448 PM] : 	ToServer/EEEEE - LOG,7,1689648596,test,5254,
[2023-07-18 12:49:56.507 PM] : 	ToServer/AAAAAA - LOG,2,1689648596,test,2641,
[2023-07-18 12:49:56.507 PM] : 	ToServer/BBBBBB - LOG,0,1689648596,test,3818,
[2023-07-18 12:49:56.508 PM] : 	ToServer/CCCCC - LOG,4,1689648596,test,9449,
[2023-07-18 12:49:56.508 PM] : 	ToServer/DDDDD - LOG,0,1689648596,test,7557,
[2023-07-18 12:49:56.508 PM] : 	ToServer/EEEEE - LOG,1,1689648596,test,5952,
[2023-07-18 12:49:56.562 PM] : 	ToServer/AAAAAA - LOG,6,1689648596,test,4290,
[2023-07-18 12:49:56.562 PM] : 	ToServer/BBBBBB - LOG,8,1689648596,test,7610,
[2023-07-18 12:49:56.562 PM] : 	ToServer/CCCCC - LOG,4,1689648596,test,1107,
[2023-07-18 12:49:56.562 PM] : 	ToServer/DDDDD - LOG,9,1689648596,test,4775,
[2023-07-18 12:49:56.562 PM] : 	ToServer/EEEEE - LOG,8,1689648596,test,6230,
[2023-07-18 12:49:56.609 PM] : 	ToServer/AAAAAA - LOG,0,1689648596,test,3870,
[2023-07-18 12:49:56.609 PM] : 	ToServer/BBBBBB - LOG,1,1689648596,test,4312,
[2023-07-18 12:49:56.610 PM] : 	ToServer/CCCCC - LOG,4,1689648596,test,7591,
[2023-07-18 12:49:56.610 PM] : 	ToServer/DDDDD - LOG,9,1689648596,test,1486,
[2023-07-18 12:49:56.610 PM] : 	ToServer/EEEEE - LOG,0,1689648596,test,6887,
[2023-07-18 12:49:56.614 PM] : 	{"id":"0ACFD54A","name":"0ACFD54A","lastCheck":"2023-07-17T02:22:08.000Z","updateUTC":"2023-07-14T03:07:26.265Z","status":"READY","assigned":false,"CH4_SN":null,"O2_SN":null,"CO2_SN":null,"PUMP_SN":null}
[2023-07-18 12:49:56.665 PM] : 	ToServer/AAAAAA - LOG,9,1689648596,test,9218,
[2023-07-18 12:49:56.666 PM] : 	ToServer/BBBBBB - LOG,3,1689648596,test,9075,
[2023-07-18 12:49:56.666 PM] : 	ToServer/CCCCC - LOG,7,1689648596,test,1484,
[2023-07-18 12:49:56.666 PM] : 	ToServer/DDDDD - LOG,8,1689648596,test,222,
[2023-07-18 12:49:56.666 PM] : 	ToServer/EEEEE - LOG,0,1689648596,test,722,
[2023-07-18 12:49:56.719 PM] : 	{"id":2164358,"dateTimeUTC":"2023-07-18T02:49:56.063Z","timestampUTC":1689648595,"deviceId":"CCCCC","taskId":5,"logType":"test","logValue":1828,"logNote":""}
[2023-07-18 12:49:56.725 PM] : 	ToServer/AAAAAA - LOG,9,1689648596,test,5839,
[2023-07-18 12:49:56.726 PM] : 	ToServer/BBBBBB - LOG,8,1689648596,test,8764,
[2023-07-18 12:49:56.726 PM] : 	ToServer/CCCCC - LOG,3,1689648596,test,7330,
[2023-07-18 12:49:56.726 PM] : 	ToServer/DDDDD - LOG,6,1689648596,test,2076,
[2023-07-18 12:49:56.726 PM] : 	ToServer/EEEEE - LOG,9,1689648596,test,4285,
[2023-07-18 12:49:56.729 PM] : 	{"id":2164363,"dateTimeUTC":"2023-07-18T02:49:56.062Z","timestampUTC":1689648595,"deviceId":"AAAAAA","taskId":2,"logType":"test","logValue":3908,"logNote":""}
[2023-07-18 12:49:56.730 PM] : 	{"id":2164364,"dateTimeUTC":"2023-07-18T02:49:56.114Z","timestampUTC":1689648596,"deviceId":"CCCCC","taskId":1,"logType":"test","logValue":972,"logNote":""}
[2023-07-18 12:49:56.735 PM] : 	{"id":2164362,"dateTimeUTC":"2023-07-18T02:49:56.009Z","timestampUTC":1689648595,"deviceId":"CCCCC","taskId":8,"logType":"test","logValue":5189,"logNote":""}
[2023-07-18 12:49:56.735 PM] : 	{"id":2164359,"dateTimeUTC":"2023-07-18T02:49:56.009Z","timestampUTC":1689648595,"deviceId":"EEEEE","taskId":8,"logType":"test","logValue":8292,"logNote":""}
[2023-07-18 12:49:56.740 PM] : 	{"id":2164366,"dateTimeUTC":"2023-07-18T02:49:56.009Z","timestampUTC":1689648595,"deviceId":"DDDDD","taskId":9,"logType":"test","logValue":6192,"logNote":""}
[2023-07-18 12:49:56.742 PM] : 	{"id":2164365,"dateTimeUTC":"2023-07-18T02:49:56.063Z","timestampUTC":1689648595,"deviceId":"BBBBBB","taskId":4,"logType":"test","logValue":9191,"logNote":""}
[2023-07-18 12:49:56.742 PM] : 	{"id":2164368,"dateTimeUTC":"2023-07-18T02:49:56.063Z","timestampUTC":1689648595,"deviceId":"DDDDD","taskId":6,"logType":"test","logValue":6577,"logNote":""}
[2023-07-18 12:49:56.743 PM] : 	{"id":2164367,"dateTimeUTC":"2023-07-18T02:49:56.008Z","timestampUTC":1689648595,"deviceId":"AAAAAA","taskId":8,"logType":"test","logValue":3141,"logNote":""}
[2023-07-18 12:49:56.743 PM] : 	{"id":2164370,"dateTimeUTC":"2023-07-18T02:49:56.063Z","timestampUTC":1689648595,"deviceId":"EEEEE","taskId":6,"logType":"test","logValue":4671,"logNote":""}
[2023-07-18 12:49:56.743 PM] : 	{"id":2164369,"dateTimeUTC":"2023-07-18T02:49:56.009Z","timestampUTC":1689648595,"deviceId":"BBBBBB","taskId":5,"logType":"test","logValue":8901,"logNote":""}
[2023-07-18 12:49:56.744 PM] : 	{"id":2164360,"dateTimeUTC":"2023-07-18T02:49:56.113Z","timestampUTC":1689648596,"deviceId":"AAAAAA","taskId":8,"logType":"test","logValue":8831,"logNote":""}
[2023-07-18 12:49:56.744 PM] : 	{"id":2164361,"dateTimeUTC":"2023-07-18T02:49:56.114Z","timestampUTC":1689648596,"deviceId":"DDDDD","taskId":9,"logType":"test","logValue":167,"logNote":""}
[2023-07-18 12:49:56.782 PM] : 	ToServer/AAAAAA - LOG,5,1689648596,test,3182,
[2023-07-18 12:49:56.782 PM] : 	ToServer/BBBBBB - LOG,4,1689648596,test,9433,
[2023-07-18 12:49:56.782 PM] : 	ToServer/CCCCC - LOG,9,1689648596,test,3937,
[2023-07-18 12:49:56.782 PM] : 	ToServer/DDDDD - LOG,3,1689648596,test,8981,
[2023-07-18 12:49:56.782 PM] : 	ToServer/EEEEE - LOG,3,1689648596,test,8317,
[2023-07-18 12:49:56.818 PM] : 	{"id":2164382,"dateTimeUTC":"2023-07-18T02:49:56.113Z","timestampUTC":1689648596,"deviceId":"BBBBBB","taskId":9,"logType":"test","logValue":7297,"logNote":""}
[2023-07-18 12:49:56.819 PM] : 	{"id":2164383,"dateTimeUTC":"2023-07-18T02:49:56.173Z","timestampUTC":1689648596,"deviceId":"BBBBBB","taskId":9,"logType":"test","logValue":1410,"logNote":""}
[2023-07-18 12:49:56.819 PM] : 	{"id":2164381,"dateTimeUTC":"2023-07-18T02:49:56.114Z","timestampUTC":1689648596,"deviceId":"EEEEE","taskId":5,"logType":"test","logValue":4168,"logNote":""}
[2023-07-18 12:49:56.822 PM] : 	{"id":2164384,"dateTimeUTC":"2023-07-18T02:49:56.173Z","timestampUTC":1689648596,"deviceId":"CCCCC","taskId":5,"logType":"test","logValue":8494,"logNote":""}
[2023-07-18 12:49:56.822 PM] : 	{"id":2164385,"dateTimeUTC":"2023-07-18T02:49:56.173Z","timestampUTC":1689648596,"deviceId":"AAAAAA","taskId":1,"logType":"test","logValue":9695,"logNote":""}
[2023-07-18 12:49:56.825 PM] : 	{"id":2164386,"dateTimeUTC":"2023-07-18T02:49:56.173Z","timestampUTC":1689648596,"deviceId":"DDDDD","taskId":5,"logType":"test","logValue":9080,"logNote":""}
[2023-07-18 12:49:56.833 PM] : 	{"id":2164387,"dateTimeUTC":"2023-07-18T02:49:56.279Z","timestampUTC":1689648596,"deviceId":"AAAAAA","taskId":4,"logType":"test","logValue":567,"logNote":""}
[2023-07-18 12:49:56.838 PM] : 	ToServer/AAAAAA - LOG,4,1689648596,test,5082,
[2023-07-18 12:49:56.838 PM] : 	ToServer/BBBBBB - LOG,6,1689648596,test,9305,
[2023-07-18 12:49:56.838 PM] : 	ToServer/CCCCC - LOG,3,1689648596,test,4104,
[2023-07-18 12:49:56.838 PM] : 	ToServer/DDDDD - LOG,3,1689648596,test,5868,
[2023-07-18 12:49:56.838 PM] : 	ToServer/EEEEE - LOG,6,1689648596,test,867,
[2023-07-18 12:49:56.838 PM] : 	{"id":2164389,"dateTimeUTC":"2023-07-18T02:49:56.173Z","timestampUTC":1689648596,"deviceId":"EEEEE","taskId":9,"logType":"test","logValue":1,"logNote":""}
[2023-07-18 12:49:56.839 PM] : 	{"id":2164391,"dateTimeUTC":"2023-07-18T02:49:56.225Z","timestampUTC":1689648596,"deviceId":"AAAAAA","taskId":4,"logType":"test","logValue":3958,"logNote":""}
[2023-07-18 12:49:56.840 PM] : 	{"id":2164390,"dateTimeUTC":"2023-07-18T02:49:56.226Z","timestampUTC":1689648596,"deviceId":"DDDDD","taskId":8,"logType":"test","logValue":3205,"logNote":""}
[2023-07-18 12:49:56.840 PM] : 	{"id":2164388,"dateTimeUTC":"2023-07-18T02:49:56.226Z","timestampUTC":1689648596,"deviceId":"EEEEE","taskId":7,"logType":"test","logValue":9716,"logNote":""}
[2023-07-18 12:49:56.843 PM] : 	{"id":2164393,"dateTimeUTC":"2023-07-18T02:49:56.279Z","timestampUTC":1689648596,"deviceId":"DDDDD","taskId":2,"logType":"test","logValue":857,"logNote":""}
[2023-07-18 12:49:56.848 PM] : 	{"id":2164392,"dateTimeUTC":"2023-07-18T02:49:56.279Z","timestampUTC":1689648596,"deviceId":"EEEEE","taskId":2,"logType":"test","logValue":6240,"logNote":""}
[2023-07-18 12:49:56.893 PM] : 	ToServer/AAAAAA - LOG,2,1689648596,test,9166,
[2023-07-18 12:49:56.893 PM] : 	ToServer/BBBBBB - LOG,6,1689648596,test,6344,
[2023-07-18 12:49:56.893 PM] : 	ToServer/CCCCC - LOG,1,1689648596,test,9610,
[2023-07-18 12:49:56.893 PM] : 	ToServer/DDDDD - LOG,3,1689648596,test,7872,
[2023-07-18 12:49:56.893 PM] : 	ToServer/EEEEE - LOG,5,1689648596,test,579,
[2023-07-18 12:49:56.920 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:49:56.921 PM] : 	{"id":2164405,"dateTimeUTC":"2023-07-18T02:49:56.343Z","timestampUTC":1689648596,"deviceId":"CCCCC","taskId":2,"logType":"test","logValue":9839,"logNote":""}
[2023-07-18 12:49:56.921 PM] : 	{"id":2164404,"dateTimeUTC":"2023-07-18T02:49:56.343Z","timestampUTC":1689648596,"deviceId":"DDDDD","taskId":1,"logType":"test","logValue":2058,"logNote":""}
[2023-07-18 12:49:56.921 PM] : 	{"id":2164406,"dateTimeUTC":"2023-07-18T02:49:56.226Z","timestampUTC":1689648596,"deviceId":"BBBBBB","taskId":8,"logType":"test","logValue":5356,"logNote":""}
[2023-07-18 12:49:56.921 PM] : 	{"id":2164409,"dateTimeUTC":"2023-07-18T02:49:56.393Z","timestampUTC":1689648596,"deviceId":"AAAAAA","taskId":5,"logType":"test","logValue":5098,"logNote":""}
[2023-07-18 12:49:56.922 PM] : 	{"id":2164407,"dateTimeUTC":"2023-07-18T02:49:56.279Z","timestampUTC":1689648596,"deviceId":"BBBBBB","taskId":1,"logType":"test","logValue":6707,"logNote":""}
[2023-07-18 12:49:56.922 PM] : 	{"id":2164408,"dateTimeUTC":"2023-07-18T02:49:56.343Z","timestampUTC":1689648596,"deviceId":"EEEEE","taskId":9,"logType":"test","logValue":9968,"logNote":""}
[2023-07-18 12:49:56.922 PM] : 	{"id":2164410,"dateTimeUTC":"2023-07-18T02:49:56.393Z","timestampUTC":1689648596,"deviceId":"BBBBBB","taskId":7,"logType":"test","logValue":1075,"logNote":""}
[2023-07-18 12:49:56.929 PM] : 	{"id":2164411,"dateTimeUTC":"2023-07-18T02:49:56.393Z","timestampUTC":1689648596,"deviceId":"CCCCC","taskId":8,"logType":"test","logValue":1705,"logNote":""}
[2023-07-18 12:49:56.935 PM] : 	{"id":2164413,"dateTimeUTC":"2023-07-18T02:49:56.393Z","timestampUTC":1689648596,"deviceId":"DDDDD","taskId":4,"logType":"test","logValue":6701,"logNote":""}
[2023-07-18 12:49:56.940 PM] : 	{"id":2164414,"dateTimeUTC":"2023-07-18T02:49:56.342Z","timestampUTC":1689648596,"deviceId":"AAAAAA","taskId":7,"logType":"test","logValue":7174,"logNote":""}
[2023-07-18 12:49:56.941 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:49:56.941 PM] : 	{"id":2164412,"dateTimeUTC":"2023-07-18T02:49:56.343Z","timestampUTC":1689648596,"deviceId":"BBBBBB","taskId":4,"logType":"test","logValue":6833,"logNote":""}
[2023-07-18 12:49:56.943 PM] : 	ToServer/AAAAAA - LOG,5,1689648596,test,7468,
[2023-07-18 12:49:56.943 PM] : 	ToServer/BBBBBB - LOG,8,1689648596,test,407,
[2023-07-18 12:49:56.943 PM] : 	ToServer/CCCCC - LOG,2,1689648596,test,4143,
[2023-07-18 12:49:56.943 PM] : 	ToServer/DDDDD - LOG,3,1689648596,test,3133,
[2023-07-18 12:49:56.943 PM] : 	ToServer/EEEEE - LOG,4,1689648596,test,6666,
[2023-07-18 12:49:56.999 PM] : 	ToServer/AAAAAA - LOG,9,1689648596,test,9843,
[2023-07-18 12:49:57.000 PM] : 	ToServer/BBBBBB - LOG,5,1689648596,test,4705,
[2023-07-18 12:49:57.000 PM] : 	ToServer/CCCCC - LOG,4,1689648596,test,2546,
[2023-07-18 12:49:57.000 PM] : 	ToServer/DDDDD - LOG,1,1689648596,test,105,
[2023-07-18 12:49:57.000 PM] : 	ToServer/EEEEE - LOG,6,1689648596,test,5641,
[2023-07-18 12:49:57.006 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:49:57.007 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:49:57.012 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:49:57.013 PM] : 	{"id":2164421,"dateTimeUTC":"2023-07-18T02:49:56.448Z","timestampUTC":1689648596,"deviceId":"AAAAAA","taskId":3,"logType":"test","logValue":6196,"logNote":""}
[2023-07-18 12:49:57.014 PM] : 	{"id":2164422,"dateTimeUTC":"2023-07-18T02:49:56.508Z","timestampUTC":1689648596,"deviceId":"CCCCC","taskId":4,"logType":"test","logValue":9449,"logNote":""}
[2023-07-18 12:49:57.014 PM] : 	{"id":2164423,"dateTimeUTC":"2023-07-18T02:49:56.448Z","timestampUTC":1689648596,"deviceId":"BBBBBB","taskId":1,"logType":"test","logValue":6742,"logNote":""}
[2023-07-18 12:49:57.015 PM] : 	{"id":2164420,"dateTimeUTC":"2023-07-18T02:49:56.448Z","timestampUTC":1689648596,"deviceId":"EEEEE","taskId":7,"logType":"test","logValue":5254,"logNote":""}
[2023-07-18 12:49:57.015 PM] : 	{"id":2164424,"dateTimeUTC":"2023-07-18T02:49:56.226Z","timestampUTC":1689648596,"deviceId":"CCCCC","taskId":2,"logType":"test","logValue":3382,"logNote":""}
[2023-07-18 12:49:57.015 PM] : 	{"id":2164425,"dateTimeUTC":"2023-07-18T02:49:56.448Z","timestampUTC":1689648596,"deviceId":"DDDDD","taskId":7,"logType":"test","logValue":1732,"logNote":""}
[2023-07-18 12:49:57.016 PM] : 	{"id":2164426,"dateTimeUTC":"2023-07-18T02:49:56.508Z","timestampUTC":1689648596,"deviceId":"EEEEE","taskId":1,"logType":"test","logValue":5952,"logNote":""}
[2023-07-18 12:49:57.037 PM] : 	{"id":2164433,"dateTimeUTC":"2023-07-18T02:49:56.507Z","timestampUTC":1689648596,"deviceId":"AAAAAA","taskId":2,"logType":"test","logValue":2641,"logNote":""}
[2023-07-18 12:49:57.038 PM] : 	{"id":2164431,"dateTimeUTC":"2023-07-18T02:49:56.562Z","timestampUTC":1689648596,"deviceId":"BBBBBB","taskId":8,"logType":"test","logValue":7610,"logNote":""}
[2023-07-18 12:49:57.038 PM] : 	{"id":2164432,"dateTimeUTC":"2023-07-18T02:49:56.562Z","timestampUTC":1689648596,"deviceId":"AAAAAA","taskId":6,"logType":"test","logValue":4290,"logNote":""}
[2023-07-18 12:49:57.055 PM] : 	ToServer/AAAAAA - LOG,2,1689648596,test,9487,
[2023-07-18 12:49:57.055 PM] : 	ToServer/BBBBBB - LOG,5,1689648596,test,4603,
[2023-07-18 12:49:57.055 PM] : 	ToServer/CCCCC - LOG,3,1689648596,test,4233,
[2023-07-18 12:49:57.055 PM] : 	ToServer/DDDDD - LOG,5,1689648596,test,9211,
[2023-07-18 12:49:57.055 PM] : 	ToServer/EEEEE - LOG,4,1689648596,test,6341,
[2023-07-18 12:49:57.088 PM] : 	{"id":2164440,"dateTimeUTC":"2023-07-18T02:49:56.562Z","timestampUTC":1689648596,"deviceId":"EEEEE","taskId":8,"logType":"test","logValue":6230,"logNote":""}
[2023-07-18 12:49:57.092 PM] : 	{"id":2164441,"dateTimeUTC":"2023-07-18T02:49:56.562Z","timestampUTC":1689648596,"deviceId":"CCCCC","taskId":4,"logType":"test","logValue":1107,"logNote":""}
[2023-07-18 12:49:57.092 PM] : 	{"id":2164442,"dateTimeUTC":"2023-07-18T02:49:56.562Z","timestampUTC":1689648596,"deviceId":"DDDDD","taskId":9,"logType":"test","logValue":4775,"logNote":""}
[2023-07-18 12:49:57.102 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:49:57.106 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:49:57.111 PM] : 	ToServer/AAAAAA - LOG,0,1689648597,test,7121,
[2023-07-18 12:49:57.111 PM] : 	ToServer/BBBBBB - LOG,0,1689648597,test,2440,
[2023-07-18 12:49:57.111 PM] : 	ToServer/CCCCC - LOG,5,1689648597,test,24,
[2023-07-18 12:49:57.111 PM] : 	ToServer/DDDDD - LOG,6,1689648597,test,5781,
[2023-07-18 12:49:57.111 PM] : 	ToServer/EEEEE - LOG,8,1689648597,test,1597,
[2023-07-18 12:49:57.113 PM] : 	{"id":2164445,"dateTimeUTC":"2023-07-18T02:49:56.610Z","timestampUTC":1689648596,"deviceId":"BBBBBB","taskId":1,"logType":"test","logValue":4312,"logNote":""}
[2023-07-18 12:49:57.113 PM] : 	{"id":2164447,"dateTimeUTC":"2023-07-18T02:49:56.666Z","timestampUTC":1689648596,"deviceId":"AAAAAA","taskId":9,"logType":"test","logValue":9218,"logNote":""}
[2023-07-18 12:49:57.113 PM] : 	{"id":2164443,"dateTimeUTC":"2023-07-18T02:49:56.666Z","timestampUTC":1689648596,"deviceId":"BBBBBB","taskId":3,"logType":"test","logValue":9075,"logNote":""}
[2023-07-18 12:49:57.114 PM] : 	{"id":2164444,"dateTimeUTC":"2023-07-18T02:49:56.610Z","timestampUTC":1689648596,"deviceId":"DDDDD","taskId":9,"logType":"test","logValue":1486,"logNote":""}
[2023-07-18 12:49:57.114 PM] : 	{"id":2164446,"dateTimeUTC":"2023-07-18T02:49:56.610Z","timestampUTC":1689648596,"deviceId":"CCCCC","taskId":4,"logType":"test","logValue":7591,"logNote":""}
[2023-07-18 12:49:57.139 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:49:57.139 PM] : 	{"id":2164452,"dateTimeUTC":"2023-07-18T02:49:56.666Z","timestampUTC":1689648596,"deviceId":"CCCCC","taskId":7,"logType":"test","logValue":1484,"logNote":""}
[2023-07-18 12:49:57.139 PM] : 	{"id":2164451,"dateTimeUTC":"2023-07-18T02:49:56.666Z","timestampUTC":1689648596,"deviceId":"DDDDD","taskId":8,"logType":"test","logValue":222,"logNote":""}
[2023-07-18 12:49:57.151 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:49:57.161 PM] : 	ToServer/AAAAAA - LOG,4,1689648597,test,7114,
[2023-07-18 12:49:57.161 PM] : 	ToServer/BBBBBB - LOG,6,1689648597,test,1839,
[2023-07-18 12:49:57.161 PM] : 	ToServer/CCCCC - LOG,7,1689648597,test,636,
[2023-07-18 12:49:57.161 PM] : 	ToServer/DDDDD - LOG,0,1689648597,test,342,
[2023-07-18 12:49:57.161 PM] : 	ToServer/EEEEE - LOG,3,1689648597,test,4988,
[2023-07-18 12:49:57.186 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:49:57.187 PM] : 	{"id":2164457,"dateTimeUTC":"2023-07-18T02:49:56.726Z","timestampUTC":1689648596,"deviceId":"AAAAAA","taskId":9,"logType":"test","logValue":5839,"logNote":""}
[2023-07-18 12:49:57.188 PM] : 	{"id":2164458,"dateTimeUTC":"2023-07-18T02:49:56.726Z","timestampUTC":1689648596,"deviceId":"BBBBBB","taskId":8,"logType":"test","logValue":8764,"logNote":""}
[2023-07-18 12:49:57.188 PM] : 	{"id":2164459,"dateTimeUTC":"2023-07-18T02:49:56.726Z","timestampUTC":1689648596,"deviceId":"DDDDD","taskId":6,"logType":"test","logValue":2076,"logNote":""}
[2023-07-18 12:49:57.189 PM] : 	{"id":2164460,"dateTimeUTC":"2023-07-18T02:49:56.726Z","timestampUTC":1689648596,"deviceId":"EEEEE","taskId":9,"logType":"test","logValue":4285,"logNote":""}
[2023-07-18 12:49:57.199 PM] : 	{"id":2164461,"dateTimeUTC":"2023-07-18T02:49:56.726Z","timestampUTC":1689648596,"deviceId":"CCCCC","taskId":3,"logType":"test","logValue":7330,"logNote":""}
[2023-07-18 12:49:57.204 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:49:57.209 PM] : 	ToServer/AAAAAA - LOG,6,1689648597,test,8677,
[2023-07-18 12:49:57.209 PM] : 	ToServer/BBBBBB - LOG,4,1689648597,test,6441,
[2023-07-18 12:49:57.209 PM] : 	ToServer/CCCCC - LOG,4,1689648597,test,1122,
[2023-07-18 12:49:57.209 PM] : 	ToServer/DDDDD - LOG,6,1689648597,test,9182,
[2023-07-18 12:49:57.209 PM] : 	ToServer/EEEEE - LOG,4,1689648597,test,555,
[2023-07-18 12:49:57.210 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:49:57.211 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:49:57.212 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:49:57.212 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:49:57.219 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:49:57.235 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
